director_name,genres,actor_1_name,actor_2_name,actor_3_name,movie_title,language
Brian Levant,Comedy Family Romance Sci-Fi,Taylor Negron,Mark Addy,Danny Woodburn,the flintstones in viva rock vegas,English
Peter MacDonald,Action Adventure Thriller War,Sylvester Stallone,Kurtwood Smith,Richard Crenna,rambo iii,English
George Clooney,Comedy Drama Romance Sport,Robert Baker,Malcolm Goodwin,Matt Bushell,leatherheads,English
Frank Coraci,Comedy Western,Taylor Lautner,Adam Sandler,Jon Lovitz,the ridiculous 6,English
Marc Lawrence,Comedy Drama Romance,Michael Kelly,Kim Shaw,Kevin Brown,did you hear about the morgans?,English
Shawn Levy,Comedy,Josh Gad,Jessica Szohr,Rob Riggle,the internship,English
Paul W.S. Anderson,Action Adventure Horror Sci-Fi,Milla Jovovich,Boris Kodjoe,Shawn Roberts,resident evil: afterlife,English
Anthony Hemingway,Action Adventure Drama History War,David Oyelowo,Nate Parker,Tristan Mack Wilds,red tails,English
unknown,Comedy Romance,Chris Noth,Kristin Davis,Cynthia Nixon,sex and the city            ,English
Taylor Hackford,Drama Mystery Thriller,Keanu Reeves,Al Pacino,Charlize Theron,the devil's advocate,English
Sean Anders,Comedy,Adam Sandler,Leighton Meester,Will Forte,that's my boy,English
Rob Cohen,Action Adventure Fantasy,Dennis Quaid,Brian Thompson,Terry O'Neill,dragonheart,English
Brett Ratner,Action Comedy Crime Drama,Salma Hayek,Don Cheadle,Chris Penn,after the sunset,English
Mark Neveldine,Action Fantasy Thriller,Nicolas Cage,Spencer Wilding,Christopher Lambert,ghost rider: spirit of vengeance,English
John Madden,Drama Music Romance War,Christian Bale,Irene Papas,Mihalis Giannatos,captain corelli's mandolin,English
unknown,Comedy Romance,Barry Corbin,Noureen DeWulf,Brian Austin Green,anger management            ,English
Adam Shankman,Action Comedy Drama Family Thriller,Vin Diesel,Brad Garrett,Tate Donovan,the pacifier,English
Kevin Bray,Action Crime,Dwayne Johnson,Ashley Scott,Michael Bowen,walking tall,English
Robert Zemeckis,Comedy Drama,Tom Hanks,Siobhan Fallon Hogan,Sam Anderson,forrest gump,English
Tim Hill,Animation Comedy Family Fantasy Music,Jesse McCartney,Beth Riesgraf,Matthew Gray Gubler,alvin and the chipmunks,English
Jay Roach,Comedy,Robert De Niro,Blythe Danner,Teri Polo,meet the parents,English
Mike Gabriel,Adventure Animation Drama Family History Musical Romance,Christian Bale,Frank Welker,Irene Bedard,pocahontas,English
Richard Donner,Action Adventure Drama Romance Sci-Fi,Marlon Brando,Margot Kidder,Ned Beatty,superman,English
Tom Shadyac,Comedy Romance Sci-Fi,Jada Pinkett Smith,James Coburn,Dave Chappelle,the nutty professor,English
Andy Tennant,Comedy Romance,Will Smith,Michael Rapaport,Kevin Sussman,hitch,English
Sam Weisman,Action Adventure Comedy Family Romance,Brendan Fraser,Abraham Benrubi,Holland Taylor,george of the jungle,English
Jesse Dylan,Comedy Romance,Alyson Hannigan,Thomas Ian Nicholas,Fred Willard,american wedding,English
Paul Greengrass,Biography Drama Thriller,Tom Hanks,Chris Mulkey,Michael Chernus,captain phillips,English
Shawn Levy,Comedy Crime Romance Thriller,Mila Kunis,James Franco,Steve Carell,date night,English
Brad Silberling,Comedy Family Fantasy,Eric Idle,Fred Rogers,Cathy Moriarty,casper,English
Antoine Fuqua,Action Crime Thriller,Denzel Washington,Chloë Grace Moretz,James Wilcox,the equalizer,English
Wayne Wang,Comedy Drama Romance,Bob Hoskins,Frances Conroy,Natasha Richardson,maid in manhattan,English
Tony Scott,Action Drama Thriller War,Denzel Washington,Viggo Mortensen,Ricky Schroder,crimson tide,English
Gabriele Muccino,Biography Drama,Will Smith,Kurt Fuller,James Karen,the pursuit of happyness,English
Robert Schwentke,Drama Mystery Thriller,Erika Christensen,Michael Irby,Haley Ramm,flightplan,English
Barry Levinson,Drama Thriller,Demi Moore,Dylan Baker,Roma Maffia,disclosure,English
Brad Silberling,Drama Fantasy Romance,Nicolas Cage,Andre Braugher,Colm Feore,city of angels,English
Quentin Tarantino,Action,David Carradine,Vivica A. Fox,Chiaki Kuriyama,kill bill: vol. 1,English
Frank Oz,Comedy,Robert Downey Jr.,Adam Alexi-Malle,Jamie Kennedy,bowfinger,English
unknown,Action Adventure Drama Sci-Fi,Christopher Judge,Don S. Davis,Gary Jones,stargate sg-1            ,English
Quentin Tarantino,Action Crime Drama Thriller,Vivica A. Fox,Michael Parks,Michael Bowen,kill bill: vol. 2,English
Andrey Konchalovskiy,Action Comedy Crime Thriller,Sylvester Stallone,Jack Palance,Brion James,tango & cash,English
Robert Zemeckis,Comedy Fantasy Horror,Bruce Willis,Meryl Streep,Isabella Rossellini,death becomes her,English
Tom Dey,Action Adventure Comedy Western,Xander Berkeley,Jason Connery,Kate Luyben,shanghai noon,English
Stuart Baird,Action Adventure Thriller,Oliver Platt,Joe Morton,J.T. Walsh,executive decision,English
Mark Waters,Comedy Family Fantasy,Madeline Carroll,Ophelia Lovibond,Philip Baker Hall,mr. popper's penguins,English
Rob Minkoff,Action Adventure Fantasy,Jet Li,Thomas McDonell,Michael Angarano,the forbidden kingdom,English
Jimmy Hayward,Adventure Animation Comedy Family,Amy Poehler,Carlos Ponce,Dan Fogler,free birds,English
David Fincher,Action Horror Sci-Fi,Charles S. Dutton,Holt McCallany,Paul McGann,alien 3,English
Alan Parker,Biography Drama History Musical,Andrea Corr,Jimmy Nail,Peter Polycarpou,evita,English
John Frankenheimer,Action Adventure Crime Thriller,Robert De Niro,Natascha McElhone,Michael Lonsdale,ronin,English
Stephen Hopkins,Adventure Drama Horror Thriller,Tom Wilkinson,Bernard Hill,Om Puri,the ghost and the darkness,English
Paul King,Animation Comedy Family Fantasy,Julie Walters,Matt Lucas,Sally Hawkins,paddington,English
Akiva Schaffer,Action Comedy Sci-Fi,Will Forte,Nicholas Braun,Rosemarie DeWitt,the watch,English
William Friedkin,Action Crime Drama Thriller,Connie Nielsen,Jenna Boyd,Rex Linn,the hunted,English
Jon Turteltaub,Drama Thriller,Anthony Hopkins,Maura Tierney,John Ashton,instinct,English
Bobby Farrelly,Comedy,Matt Damon,Terence Bernie Hines,Seymour Cassel,stuck on you,English
Kent Alterman,Comedy Sport,Will Ferrell,Maura Tierney,Matt Walsh,semi-pro,English
Peter Lord,Adventure Animation Comedy Family,Salma Hayek,Russell Tovey,Brian Blessed,the pirates! band of misfits,English
Clint Eastwood,Crime Drama Mystery Thriller,Angelina Jolie Pitt,Michael Kelly,Colm Feore,changeling,English
Andrew Davis,Action Drama Sci-Fi Thriller,Keanu Reeves,Morgan Freeman,Kevin Dunn,chain reaction,English
Tony Scott,Action Drama Sport Thriller,Robert De Niro,Kurt Fuller,Ellen Barkin,the fan,English
Joel Schumacher,Drama Musical Romance Thriller,Gerard Butler,Minnie Driver,Miranda Richardson,the phantom of the opera,English
Shekhar Kapur,Biography Drama History War,Eddie Redmayne,Abbie Cornish,Jordi Mollà,elizabeth: the golden age,English
Karyn Kusama,Action Sci-Fi,Charlize Theron,Sophie Okonedo,Paterson Joseph,æon flux,English
Ron Maxwell,Drama History War,Billy Campbell,Bruce Boxleitner,John Castle,gods and generals,English
Robert Butler,Action Thriller,Hector Elizondo,Lauren Holly,Jeffrey DeMunn,turbulence,English
Karey Kirkpatrick,Comedy Drama Family Fantasy,Stephen Root,Ronny Cox,Richard Schiff,imagine that,English
James Bobin,Adventure Comedy Crime Family Musical,Ty Burrell,Tina Fey,Hugh Bonneville,muppets most wanted,English
Jonathan Frakes,Action Adventure Comedy Family Sci-Fi,Sophia Myles,Philip Winchester,Brady Corbet,thunderbirds,English
Steve Antin,Drama Music Musical Romance,Eric Dane,Peter Gallagher,David Walton,burlesque,English
Jean-Pierre Jeunet,Drama Mystery Romance War,Denis Lavant,André Dussollier,Albert Dupontel,a very long engagement,French
Stanley Kubrick,Crime Drama Romance,James Mason,Shelley Winters,Lois Maxwell,lolita,English
Jim Gillespie,Crime Horror Mystery Thriller,Sylvester Stallone,Tom Berenger,Charles S. Dutton,eye see you,English
Guillermo del Toro,Action Horror Sci-Fi Thriller,Norman Reedus,Thomas Kretschmann,Tony Curran,blade ii,English
Gabriele Muccino,Drama Romance,Will Smith,Rosario Dawson,Madison Pettis,seven pounds,English
Walter Hill,Action Thriller,Sylvester Stallone,Jason Momoa,Jon Seda,bullet to the head,English
Francis Ford Coppola,Crime Drama,Al Pacino,Joe Mantegna,Bridget Fonda,the godfather: part iii,English
Cameron Crowe,Comedy Drama Romance,Orlando Bloom,Kirsten Dunst,Judy Greer,elizabethtown,English
Anthony Russo,Comedy Romance,Todd Stashwick,Billy Gardell,Amanda Detmer,"you, me and dupree",English
Richard Lester,Action Adventure Romance Sci-Fi,Margot Kidder,Ned Beatty,Jackie Cooper,superman ii,English
Martin Brest,Comedy Crime Romance,Todd Giebenhain,Lenny Venito,David Backus,gigli,English
Steven Zaillian,Drama Thriller,Kate Winslet,Anthony Hopkins,Kevin Dunn,all the king's men,English
John Singleton,Action Crime Thriller,Christian Bale,Vanessa Williams,Daniel von Bargen,shaft,English
Don Bluth,Adventure Animation Drama Family Fantasy Musical Mystery Romance,Kirsten Dunst,Kelsey Grammer,Bernadette Peters,anastasia,English
Baz Luhrmann,Drama Musical Romance,Jim Broadbent,Kylie Minogue,Richard Roxburgh,moulin rouge!,English
Harold Becker,Crime Mystery Thriller,Steve Buscemi,Teri Polo,Matt O'Leary,domestic disturbance,English
Scott Cooper,Biography Crime Drama,Johnny Depp,Benedict Cumberbatch,Adam Scott,black mass,English
Clint Eastwood,Drama History War,Paul Walker,Chris Bauer,Tom McCarthy,flags of our fathers,English
F. Gary Gray,Crime Drama Thriller,Gerard Butler,Leslie Bibb,Michael Kelly,law abiding citizen,English
Robert Rodriguez,Action Horror Thriller,Quentin Tarantino,Rosario Dawson,Zoë Bell,grindhouse,English
Jonathan Demme,Drama History Horror,Oprah Winfrey,Kimberly Elise,Hill Harper,beloved,English
Curtis Hanson,Drama Romance Sport,Robert Downey Jr.,Robert Duvall,Kelvin Han Yee,lucky you,English
Steven Spielberg,Biography Crime Drama,Leonardo DiCaprio,Tom Hanks,Jennifer Garner,catch me if you can,English
Kathryn Bigelow,Drama History Thriller,Jennifer Ehle,Harold Perrineau,Parker Sawyers,zero dark thirty,English
Peyton Reed,Comedy Drama Romance,Jon Favreau,John Michael Higgins,Ann-Margret,the break-up,English
Phyllida Lloyd,Comedy Family Musical Romance,Colin Firth,Meryl Streep,Julie Walters,mamma mia!,English
Garry Marshall,Comedy Romance,Bradley Cooper,Taylor Lautner,Anne Hathaway,valentine's day,English
Jay Chandrasekhar,Action Adventure Comedy,Alice Greczyn,Jessica Simpson,Michael Weston,the dukes of hazzard,English
Terrence Malick,Drama War,Nick Stahl,Miranda Otto,Dash Mihok,the thin red line,English
David Dobkin,Comedy Fantasy,Ryan Reynolds,Olivia Wilde,Mircea Monroe,the change-up,English
Milos Forman,Biography Comedy Drama,Matt Price,Gerry Becker,Tom Dreesen,man on the moon,English
Martin Scorsese,Biography Crime Drama,Robert De Niro,Don Rickles,Kevin Pollak,casino,English
Pierre Morel,Action Thriller,Kasia Smutniak,Amber Rose Revah,Rebecca Dayan,from paris with love,English
Paul Hunter,Action Comedy Fantasy,Jaime King,Mako,Victoria Smurfit,bulletproof monk,English
Bobby Farrelly,Comedy,Robert Forster,Tony Cox,Rob Moran,"me, myself & irene",English
Steve Oedekerk,Animation Comedy Family,Rob Paulsen,Wanda Sykes,Maurice LaMarche,barnyard,English
John Whitesell,Comedy Family,Matthew Broderick,Jorge Garcia,Alia Shawkat,deck the halls,English
Chris Weitz,Adventure Drama Fantasy Romance,Robert Pattinson,Kristen Stewart,Taylor Lautner,the twilight saga: new moon,English
Andrew Adamson,Adventure Animation Comedy Family Fantasy,Kathleen Freeman,Chris Miller,Bobby Block,shrek,English
George Nolfi,Romance Sci-Fi Thriller,Matt Damon,Michael Kelly,Jon Stewart,the adjustment bureau,English
Kevin Reynolds,Action Adventure Drama Romance,Alan Rickman,Morgan Freeman,Michael Wincott,robin hood: prince of thieves,English
Cameron Crowe,Comedy Drama Romance Sport,Tom Cruise,Kelly Preston,Bonnie Hunt,jerry maguire,English
Seth MacFarlane,Comedy Fantasy,Mila Kunis,Seth MacFarlane,Tom Skerritt,ted,English
James L. Brooks,Comedy Drama Romance,Lupe Ontiveros,Yeardley Smith,Shirley Knight,as good as it gets,English
Tom Shadyac,Biography Comedy Drama Romance,Robin Williams,Philip Seymour Hoffman,Monica Potter,patch adams,English
Adam McKay,Comedy,Harrison Ford,Will Ferrell,Steve Carell,anchorman 2: the legend continues,English
Steven Brill,Comedy Romance,Steve Buscemi,Adam Sandler,Peter Gallagher,mr. deeds,English
J.J. Abrams,Mystery Sci-Fi Thriller,Joel Courtney,AJ Michalka,Zach Mills,super 8,English
Steven Soderbergh,Biography Drama,Julia Roberts,Albert Finney,Conchata Ferrell,erin brockovich,English
Donald Petrie,Comedy Romance,Matthew McConaughey,Adam Goldberg,Thomas Lennon,how to lose a guy in 10 days,English
Phil Lord,Action Comedy Crime,Channing Tatum,Craig Roberts,Amber Stevens West,22 jump street,English
Neil Jordan,Drama Fantasy Horror,Brad Pitt,Tom Cruise,Kirsten Dunst,interview with the vampire: the vampire chronicles,English
Peyton Reed,Comedy Romance,Bradley Cooper,Zooey Deschanel,Danny Masterson,yes man,English
Rawson Marshall Thurber,Action Comedy Crime,Dwayne Johnson,Thomas Kretschmann,Megan Park,central intelligence,English
Chris Columbus,Comedy Drama,Julia Roberts,Liam Aiken,Herbert Russell,stepmom,English
Sean Anders,Comedy Family,Will Ferrell,Linda Cardellini,Mark L. Young,daddy's home,English
Rob Marshall,Adventure Comedy Drama Fantasy Musical,Johnny Depp,Meryl Streep,Anna Kendrick,into the woods,English
Spike Lee,Crime Drama Mystery Thriller,Denzel Washington,James Ransone,Peter Gerety,inside man,English
Brian Helgeland,Action Crime Drama Thriller,Bill Duke,Deborah Kara Unger,William Devane,payback,English
Frank Marshall,Action Adventure Mystery Sci-Fi,Dylan Walsh,Joe Don Baker,Grant Heslov,congo,English
Cameron Crowe,Comedy Drama Family,Scarlett Johansson,Matt Damon,Stephanie Szostak,we bought a zoo,English
Alex Proyas,Drama Mystery Sci-Fi Thriller,Nicolas Cage,Ben Mendelsohn,Chandler Canterbury,knowing,English
Tom Dey,Comedy Romance,Bradley Cooper,Matthew McConaughey,Zooey Deschanel,failure to launch,English
Hideo Nakata,Horror Mystery,Naomi Watts,Gary Cole,Sissy Spacek,the ring two,English
Glenn Ficarra,Comedy Drama Romance,Ryan Gosling,Emma Stone,Steve Carell,"crazy, stupid, love.",English
Peter Hewitt,Animation Comedy Family Fantasy,Bill Murray,Mark Christopher Lawrence,Michael Monks,garfield,English
Joe Roth,Comedy Family,Jamie Lee Curtis,Cheech Marin,Jake Busey,christmas with the kranks,English
Bennett Miller,Biography Drama Sport,Philip Seymour Hoffman,Robin Wright,Brad Pitt,moneyball,English
Wolfgang Petersen,Action Drama Thriller,Kevin Spacey,Morgan Freeman,Rene Russo,outbreak,English
Jaume Collet-Serra,Action Mystery Thriller,Liam Neeson,Nate Parker,Scoot McNairy,non-stop,English
Andy Fickman,Action Adventure Family Fantasy Sci-Fi Thriller,Dwayne Johnson,Billy Brown,Tom Everett Scott,race to witch mountain,English
James McTeigue,Action Drama Thriller,Natalie Portman,Eddie Marsan,Rupert Graves,v for vendetta,English
David Dobkin,Action Adventure Comedy,Fann Wong,Anna-Louise Plowman,Georgina Chapman,shanghai knights,English
unknown,Crime Drama,Bernard Hill,Gemma Jones,Nicola Walker,unforgotten            ,English
Matthew O'Callaghan,Adventure Animation Comedy Family,Will Ferrell,Frank Welker,Alexander Gould,curious george,English
Angela Robinson,Adventure Comedy Family Fantasy Romance Sport,Scoot McNairy,Thomas Lennon,Cheryl Hines,herbie fully loaded,English
Gary Fleder,Crime Drama Mystery Thriller,Oliver Platt,Jennifer Esposito,Conrad Goode,don't say a word,English
Tommy Wirkola,Action Fantasy Horror,Jeremy Renner,Derek Mears,Ingrid Bolsø Berdal,hansel & gretel: witch hunters,English
Adrian Lyne,Drama Thriller,Olivier Martinez,Erik Per Sullivan,Chad Lowe,unfaithful,English
D.J. Caruso,Action Adventure Sci-Fi Thriller,Alex Pettyfer,Emily Wickersham,Reuben Langdon,i am number four,English
Stephen Gaghan,Drama Thriller,Matt Damon,Amr Waked,Kayvan Novak,syriana,English
Michael Bay,Action Drama Thriller War,Toby Stephens,James Badge Dale,David Costabile,13 hours,English
Jorge R. Gutiérrez,Adventure Animation Comedy Family Fantasy Romance,Channing Tatum,Hector Elizondo,Ana de la Reguera,the book of life,English
Richard Loncraine,Crime Thriller,Jimmy Bennett,Harrison Ford,Mary Lynn Rajskub,firewall,English
Clint Eastwood,Action Crime Drama Thriller,Clint Eastwood,Mark Margolis,Scott Glenn,absolute power,English
Ridley Scott,Action Drama War,Viggo Mortensen,Demi Moore,John Michael Higgins,g.i. jane,English
David Fincher,Drama Mystery Thriller,Deborah Kara Unger,Armin Mueller-Stahl,Charles Martinet,the game,English
Christophe Gans,Adventure Horror Mystery,Radha Mitchell,Deborah Kara Unger,Alice Krige,silent hill,English
Howard Deutch,Comedy Sport,Keanu Reeves,Jon Favreau,Faizon Love,the replacements,English
Jon Hurwitz,Comedy,Alyson Hannigan,Dania Ramirez,Natasha Lyonne,american reunion,English
F. Gary Gray,Action Crime Drama Mystery Thriller,Kevin Spacey,Michael Cudlitz,Siobhan Fallon Hogan,the negotiator,English
Steven Quale,Action Thriller,Matt Walsh,Alycia Debnam-Carey,Scott Lawrence,into the storm,English
John Landis,Action Comedy Crime Thriller,Louis Lombardi,Jon Tenney,Gilbert R. Hill,beverly hills cop iii,English
Joe Dante,Comedy Fantasy Horror,Christopher Lee,Robert Picardo,Phoebe Cates,gremlins 2: the new batch,English
David Dobkin,Crime Drama,Robert Downey Jr.,Robert Duvall,Leighton Meester,the judge,English
Mimi Leder,Action Thriller,Armin Mueller-Stahl,Holt McCallany,Marcel Iures,the peacemaker,English
Alexander Witt,Action Horror Sci-Fi Thriller,Milla Jovovich,Thomas Kretschmann,Mike Epps,resident evil: apocalypse,English
Beeban Kidron,Comedy Drama Romance,Colin Firth,Jim Broadbent,Celia Imrie,bridget jones: the edge of reason,English
Carl Franklin,Crime Drama Romance Thriller,Denzel Washington,Sanaa Lathan,John Billingsley,out of time,English
Steven Seagal,Action Adventure Thriller,Mike Starr,Joan Chen,Sven-Ole Thorsen,on deadly ground,English
Robert Rodriguez,Action Adventure Family Fantasy,Taylor Lautner,Kristin Davis,Taylor Dooley,the adventures of sharkboy and lavagirl 3-d,English
Danny Boyle,Adventure Drama Thriller,Leonardo DiCaprio,Virginie Ledoyen,Peter Youngblood Hills,the beach,English
Garry Marshall,Comedy Drama Romance,Amber Valletta,Felicity Huffman,Spencer Breslin,raising helen,English
James McTeigue,Action Crime Thriller,Shô Kosugi,Ben Miles,Rain,ninja assassin,English
Sam Raimi,Drama Romance Sport,J.K. Simmons,Kelly Preston,Carmine Giovinazzo,for love of the game,English
unknown,Crime Drama Mystery,David Jason,Bruce Alexander,John Lyons,a touch of frost            ,English
Andrew Bergman,Comedy Crime Drama Thriller,Demi Moore,Rumer Willis,Paul Guilfoyle,striptease,English
Tom Dey,Comedy Family,Emma Stone,Judy Greer,Steve Coogan,marmaduke,English
Clint Eastwood,Drama Fantasy,Matt Damon,Jay Mohr,Cécile De France,hereafter,English
Barbet Schroeder,Crime Mystery Thriller,Ryan Gosling,Chris Penn,Agnes Bruckner,murder by numbers,English
Richard Donner,Action Crime Thriller,Muse Watson,Sylvester Stallone,Kelly Rowan,assassins,English
Peter Webber,Crime Drama Thriller,Li Gong,Stephen Walters,Richard Brake,hannibal rising,English
Rob Reiner,Comedy Drama Romance,Bruce Willis,Tim Matheson,Rita Wilson,the story of us,English
Andrew Niccol,Action Adventure Romance Sci-Fi Thriller,J.D. Evermore,Chandler Canterbury,Rachel Roberts,the host,English
John McTiernan,Action Crime Drama Mystery Thriller,Connie Nielsen,Harry Connick Jr.,Tim Daly,basic,English
Clint Eastwood,Action Crime Drama Mystery Thriller,Clint Eastwood,Anjelica Huston,Rick Hoffman,blood work,English
Tom Tykwer,Action Crime Drama Mystery Thriller,Naomi Watts,Brían F. O'Byrne,Armin Mueller-Stahl,the international,English
John Carpenter,Action Adventure Sci-Fi Thriller,Steve Buscemi,Valeria Golino,Michelle Forbes,escape from l.a.,English
unknown,Drama Mystery Thriller,Grey Damon,Brittany Curran,Aaron Hill,twisted            ,English
Brad Bird,Action Adventure Animation Comedy Drama Family Sci-Fi,Vin Diesel,Harry Connick Jr.,M. Emmet Walsh,the iron giant,English
Wes Anderson,Adventure Comedy Drama,Bill Murray,Anjelica Huston,Matthew Gray Gubler,the life aquatic with steve zissou,English
Gary Ross,Action Biography Drama History War,Matthew McConaughey,Donald Watkins,Jessica Collins,free state of jones,English
Alan Parker,Crime Drama Thriller,Kevin Spacey,Kate Winslet,Matt Craven,the life of david gale,English
Stephen Herek,Action Comedy,Christina Milian,Vanessa Ferlito,Kelli Garner,man of the house,English
Jaume Collet-Serra,Action Crime Drama Thriller,Liam Neeson,Common,Bruce McGill,run all night,English
David Cronenberg,Crime Mystery Thriller,Viggo Mortensen,Naomi Watts,Raza Jaffrey,eastern promises,English
John Stockwell,Action Adventure Crime Thriller,Paul Walker,James Frain,Ashley Scott,into the blue,English
Luc Besson,Adventure Biography Drama History War,Paul Brooke,David Bailie,Rab Affleck,the messenger: the story of joan of arc,English
David Gordon Green,Adventure Comedy Fantasy,Natalie Portman,Zooey Deschanel,James Franco,your highness,English
Jim Sheridan,Drama Mystery Thriller,Naomi Watts,Gregory Smith,Sarah Gadon,dream house,English
Costa-Gavras,Crime Drama Thriller,Mia Kirshner,Blythe Danner,William Atherton,mad city,English
Patrick Read Johnson,Adventure Comedy Crime Drama Family,Joe Mantegna,Lara Flynn Boyle,Cynthia Nixon,baby's day out,English
Roland Joffé,Drama Romance,Gary Oldman,Robert Duvall,Demi Moore,the scarlet letter,English
Doug Liman,Biography Drama Thriller,Naomi Watts,Ty Burrell,Brooke Smith,fair game,English
unknown,Action Drama Sci-Fi,Julie Benz,Tony Curran,Grant Bowler,defiance            ,English
Tony Scott,Action Biography Crime Drama Thriller,Ian Ziering,Mo'Nique,Edgar Ramírez,domino,English
William Friedkin,Crime Drama Thriller,Michael Biehn,Chazz Palminteri,Linda Fiorentino,jade,English
Mark Neveldine,Action Sci-Fi Thriller,Gerard Butler,Logan Lerman,Alison Lohman,gamer,English
Richard LaGravenese,Drama Fantasy Romance,Alden Ehrenreich,Zoey Deutch,Pruitt Taylor Vince,beautiful creatures,English
Danny DeVito,Comedy Crime Drama Thriller,Robin Williams,Vincent Schiavelli,Danny Woodburn,death to smoochy,English
Ben Stiller,Comedy,Milla Jovovich,Will Ferrell,Justin Theroux,zoolander 2,English
George Armitage,Comedy Crime,Morgan Freeman,Andrew Wilson,Willie Nelson,the big bounce,English
Mike Nichols,Comedy Sci-Fi,Judy Greer,Linda Fiorentino,Garry Shandling,what planet are you from?,English
Patrick Lussier,Action Fantasy Thriller,Nicolas Cage,Billy Burke,Katy Mixon,drive angry,English
Andrzej Bartkowiak,Action Crime Drama Mystery Thriller,Chris Klein,Robin Shou,Josie Ho,street fighter: the legend of chun-li,English
James Wong,Action Sci-Fi Thriller,Jason Statham,Jet Li,Delroy Lindo,the one,English
unknown,Drama Romance Sci-Fi,Tobias Menzies,Graham McTavish,Stephen Walters,outlander            ,English
Renny Harlin,Action Adventure Comedy Crime Music Mystery,Lauren Holly,Gilbert Gottfried,David Patrick Kelly,the adventures of ford fairlane,English
Richard Curtis,Comedy Drama Music,Philip Seymour Hoffman,Charlie Rowe,Tom Sturridge,pirate radio,English
Steven Soderbergh,Crime Drama Thriller,Michael O'Neill,Jacob Vargas,James Lew,traffic,English
Steven Spielberg,Action Adventure Fantasy,Harrison Ford,Julian Glover,Alison Doody,indiana jones and the last crusade,English
Joe Wright,Drama Romance,Kelly Macdonald,Guro Nagelhus Schia,Matthew Macfadyen,anna karenina,English
Neill Blomkamp,Action Crime Drama Sci-Fi Thriller,Hugh Jackman,Sharlto Copley,Jose Pablo Cantillo,chappie,English
Phillip Noyce,Crime Drama Mystery Thriller,Denzel Washington,Angelina Jolie Pitt,Leland Orser,the bone collector,English
David Fincher,Crime Drama Thriller,Kristen Stewart,Dwight Yoakam,Mel Rodriguez,panic room,English
Chuck Bowman,Horror Thriller,P.J. Soles,Lochlyn Munro,Steve Bacic,the tooth fairy,English
David O. Russell,Action Adventure Comedy Drama War,Judy Greer,Jamie Kennedy,Mykelti Williamson,three kings,English
Daniel Espinosa,Crime Drama Thriller,Tom Hardy,Fares Fares,Michael Nardone,child 44,English
Jerry Zucker,Adventure Comedy,Corinna Harney,Douglas Haase,Vince Vieluf,rat race,English
Iain Softley,Drama Mystery Sci-Fi,Kevin Spacey,Jeff Bridges,Alfre Woodard,k-pax,English
James Mangold,Comedy Fantasy Romance,Hugh Jackman,Natasha Lyonne,Bradley Whitford,kate & leopold,English
Harold Ramis,Comedy Fantasy Romance,Brendan Fraser,Frances O'Connor,Brian Doyle-Murray,bedazzled,English
Francis Ford Coppola,Crime Drama Music,Nicolas Cage,Bob Hoskins,Fred Gwynne,the cotton club,English
James Mangold,Adventure Crime Drama Western,Christian Bale,Logan Lerman,Gretchen Mol,3:10 to yuma,English
Olivier Megaton,Action Thriller,Liam Neeson,Dougray Scott,Jon Gries,taken 3,English
Steven Soderbergh,Crime Drama Romance Thriller,Don Cheadle,Albert Brooks,Keith Hudson,out of sight,English
Ben Stiller,Comedy Drama Thriller,Matthew Broderick,Janeane Garofalo,Andy Dick,the cable guy,English
Deepa Mehta,Drama Romance War,Nandita Das,Gulshan Grover,Eric Peterson,earth,Hindi
Warren Beatty,Action Comedy Crime Music Romance Thriller,Charlie Korsmo,Warren Beatty,Seymour Cassel,dick tracy,English
John McTiernan,Crime Romance Thriller,Mark Margolis,Faye Dunaway,Denis Leary,the thomas crown affair,English
Penny Marshall,Biography Comedy Drama,Rosie Perez,Adam Garcia,Alissa Dean,riding in cars with boys,English
Ted Kotcheff,Action Adventure Drama,Sylvester Stallone,Brian Dennehy,Chris Mulkey,first blood,English
Andrei Tarkovsky,Drama Mystery Sci-Fi,Donatas Banionis,Anatoliy Solonitsyn,Natalya Bondarchuk,solaris,Russian
Paul Bolger,Adventure Animation Comedy Family Fantasy,Sarah Michelle Gellar,George Carlin,Rob Paulsen,happily n'ever after,English
Stephen Frears,Drama Horror Romance Thriller,Julia Roberts,Bronagh Gallagher,George Cole,mary reilly,English
P.J. Hogan,Comedy Romance,Julia Roberts,Christopher Masterson,Rupert Everett,my best friend's wedding,English
Joe Roth,Comedy Romance,Julia Roberts,Rainn Wilson,Larry King,america's sweethearts,English
Christopher Nolan,Drama Mystery Thriller,Al Pacino,Maura Tierney,Crystal Lowe,insomnia,English
Jonathan Frakes,Action Adventure Drama Sci-Fi Thriller,LeVar Burton,Alfre Woodard,Jonathan Frakes,star trek: first contact,English
Jimmy Hayward,Action Drama Fantasy Thriller Western,Michael Fassbender,Billy Blair,Julia Jones,jonah hex,English
Edward Zwick,Action Drama Mystery Thriller War,Denzel Washington,Matt Damon,Scott Glenn,courage under fire,English
Tom Shadyac,Comedy Fantasy Romance,Maura Tierney,Swoosie Kurtz,Randall 'Tex' Cobb,liar liar,English
Brad Furman,Biography Crime Drama Thriller,Joseph Gilgun,Amy Ryan,Olympia Dukakis,the infiltrator,English
Terence Young,Drama History War,Laurence Olivier,Ben Gazzara,Jacqueline Bisset,inchon,English
Brian Levant,Comedy Family Fantasy,Jonathan Winters,Elizabeth Perkins,Harvey Korman,the flintstones,English
